run,elapsed_s
1,.246112218
2,.262911883
3,.265052690
4,.269309575
5,.264027267
6,.265942382
7,.263311252
8,.266417532
9,.270720568
10,.264754142
11,.265618171
12,.267744614
13,.262953319
14,.263335018
15,.271266397
16,.270185804
17,.263979562
18,.276777795
19,.289287343
20,.264060939
21,.260531439
22,.267786076
23,.269332979
24,.265937906
25,.267126755
26,.273307641
27,.264867748
28,.264763941
29,.262515982
30,.263417505
31,.262387940
32,.272658766
33,.258468241
34,.278335508
35,.258721487
36,.262975998
37,.259909281
38,.269070020
39,.268861535
40,.262883478
41,.263042558
42,.263767406
43,.264018135
44,.271947202
45,.268155834
46,.272545207
47,.264619827
48,.259679978
49,.261947806
50,.260437279
51,.271954170
52,.269793307
53,.267034491
54,.265446232
55,.268944173
56,.263234690
57,.261787955
58,.267494623
59,.263757909
60,.265020470
61,.260807726
62,.263959944
63,.269411280
64,.265961126
65,.264852255
66,.265110541
67,.260582748
68,.274773699
69,.268592216
70,.261912569
71,.265333388
72,.267284084
73,.267422069
74,.263529689
75,.259563019
76,.261827808
77,.270462561
78,.266700082
79,.265389781
80,.262804973
81,.266078227
82,.267038299
83,.259660984
84,.262588364
85,.265096826
86,.267332574
87,.260009614
88,.260524041
89,.265150457
90,.270666727
91,.263563084
92,.264011475
93,.267807881
94,.264192992
95,.267750962
96,.261550503
97,.271159321
98,.260528168
99,.261994751
100,.274880224
